dbname,db_username,qrytext,num_queries,min_minutes,max_minutes,avg_minutes,total_minutes,total_compile_minutes,total_num_compile_segments,min_disk_spill_mb,max_disk_spill_mb,avg_disk_spill_mb,total_disk_spill_mb,max_query_id,last_run,num_days_executed,total_aborted,qry_label,avg_spectrum_object_used,avg_federated_object_used,user_table_involved,alert
prd_dw,data_admin,INSERT INTO prd_dw.analytics.firehose_v3_enriched_sampled_fast ( SELECT * FROM prd_dw.analytics.firehose_v3_enriched WHERE (user_id != 0 AND abs(fnv_hash(user_id)) % 100 < 8) OR (user_id = 0 AND abs(fnv_hash(event_id_hash)) % 100 < 8) and event_date_id between '2025-02-27'::date and '2025-03-05'::date ),1,449.46666,449.46666,449.46666,449.46666,0.62750,2,8469696,8469696,8469696,8469696,1784597,2025-03-05,1,1,default,0,0,,
prd_dw,data_admin,"create table prd_dw.stage.udm_visitors_delta_rows sortkey ( evaluation_date ) distkey ( user_id ) as with dates as (select dd.date_id, min(date_id) over ( partition by year,quarter) quarter_start, max(date_id) over ( partition by year,quarter) quarter_end, date_id - (case when day_of_week > 1 then day_of_week - 2 else 6 end) as WTD, date_trunc('month', date_id)::date as MTD, date_add('month', -1, date_trunc('month', date_id))::date as prev_month_start, date_add('month', -1, date_trunc('month', q",2,239.43333,320.26666,279.84999,559.69999,0.00183,2,13855078,13865496,13860287,27720574,1861222,2025-03-06,2,0,default,0,0,,NL Dist
prd_dw,data_admin,"INSERT INTO prd_dw.fact.engagement_cohorts ( user_id ,first_cutting_machine_registration_month_start_date ,first_day_of_evaluation_month ,user_age_in_months ,days_cut_lifetime ,days_cut_this_month ,t1 ,t2 ,t3 ,t4 ,t5 ,t6 ,t7 ,t8 ,t9 ,t10 ,t11 ,t12 ,projected_months_cut ,monthly_classification ,prev_monthly_classification ,prev_days_cut_this_month ,monthly_classification_desc ,prev_monthly_classification_desc ,dw_load_date ) WITH reg_data AS ( SELECT mr.user_id , DATE_TRUNC('month', MIN(mr.regist",1,264.33333,264.33333,264.33333,264.33333,0.09766,13,1145752,1145752,1145752,1145752,1733484,2025-03-04,1,0,default,0,0,,Sortkey NL Broacast
prd_dw,data_admin,"CREATE TABLE prd_dw.stage.udm_cuts_user_dates_populate_v2 distkey ( user_id ) sortkey (date_id) as select u.user_id, dd.date_id, date_id - (case when day_of_week > 1 then day_of_week - 2 else 6 end) as WTD, date_trunc('month', date_id)::date as MTD, min(date_id) over (partition by year_quarter_num ) QTD, min(date_id) over ( partition by year,quarter) quarter_start, max(date_id) over ( partition by year,quarter) quarter_end, date_add('month', -1, date_trunc('month', date_id))::date as prev_month_",1,214.16666,214.16666,214.16666,214.16666,0.00000,0,4451264,4451264,4451264,4451264,1540107,2025-02-27,1,0,default,0,0,,Dist
prd_dw,data_admin,"INSERT INTO prd_dw.stage.tbl_transform_project_fix_is_deleted ( dw_load_date , project_id , canvas_id , canvas_uuid , user_id , project_name , description , source_project_id , source_project_canvas_id , source_project_canvas_uuid , parent_project_id , parent_project_canvas_id , parent_project_canvas_uuid , type , created_date , modified_date , released_on , reviewed_on , published_on , is_deleted , deletion_type , is_excluded_from_search , is_published , is_promoted , additional_resources , cat",1,213.25000,213.25000,213.25000,213.25000,0.63366,5,2165454,2165454,2165454,2165454,1536298,2025-02-27,1,0,default,0,0,,
prd_dw,data_admin,"create table prd_dw.stage.udm_visitors_delta_users_session_count sortkey (event_date_id) distkey ( user_id ) as select v2.event_date_id, v2.user_id, (case when v2.client_source = 'FOUNDATION' then 'Android' when v2.client_source = 'ARTEMIS' then 'IOS' when v2.client_source = 'VALENTINE' then 'IOS' when v2.client_source = 'KRYPTON' then 'Android' when v2.client_source = 'KEPLER' then 'Desktop' when v2.client_source = 'GLIESE' then 'IOS' when v2.client_source = 'BAYMAX' then 'Android' when v2.clie",8,189.80000,244.88333,210.78749,1686.29998,0.00000,0,214054,243351,224816,1798533,1852716,2025-03-06,8,0,default,0,0,,
prd_dw,data_admin,"CREATE TABLE prd_dw.stage.stage_content_usage_base sortkey(cut_session_start_date) AS ( SELECT cut.user_id , project_cut_session_start_date::DATE cut_session_start_date , DATE_TRUNC('month', project_cut_session_start_date::DATE)::DATE AS first_day_of_month , cut.image_id , cut.project_cut_derived_session_id cut_session_id , cut.project_id , cut.canvas_id , cut.path_type , project_type.project_type , cut.font_name , di.shape_type , di.is_printable , di.is_a_smart_object , case when cut.image_id<0",1,210.70000,210.70000,210.70000,210.70000,0.00000,0,1168677,1168677,1168677,1168677,1513753,2025-02-27,1,0,default,0,0,,Sortkey NL Dist Stats
prd_dw,data_admin,"CREATE TABLE prd_dw.stage.udm_cuts_user_dates_populate_v2 distkey ( user_id ) sortkey (date_id) as select u.user_id, dd.date_id, date_id - (case when day_of_week > 1 then day_of_week - 2 else 6 end) as WTD, date_trunc('month', date_id)::date as MTD, min(date_id) over (partition by year_quarter_num ) QTD, min(date_id) over ( partition by year,quarter) quarter_start, max(date_id) over ( partition by year,quarter) quarter_end, date_add('month', -1, date_trunc('month', date_id))::date as prev_month_",11,140.50000,241.36666,200.37726,2204.14996,0.00000,0,4434791,4477959,4457915,49037068,1855894,2025-03-06,8,0,default,0,0,,NL
prd_dw,data_admin,"create table prd_dw.stage.udm_visitors_delta_rows sortkey ( evaluation_date ) distkey ( user_id ) as with dates as (select dd.date_id, min(date_id) over ( partition by year,quarter) quarter_start, max(date_id) over ( partition by year,quarter) quarter_end, date_id - (case when day_of_week > 1 then day_of_week - 2 else 6 end) as WTD, date_trunc('month', date_id)::date as MTD, date_add('month', -1, date_trunc('month', date_id))::date as prev_month_start, date_add('month', -1, date_trunc('month', q",6,141.66666,215.26666,177.07777,1062.46664,0.00033,1,11226686,14258715,12243934,73463607,1724231,2025-03-04,6,0,default,0,0,,NL
prd_dw,data_admin,UNLOAD ('SELECT * FROM analytics.pillar5_domo_canvas_to_cut_user_conversion_view') to 's3://prd-domo/prd_dw/analytics/pillar5_domo_canvas_to_cut_user_conversion_view/pillar5_domo_canvas_to_cut_user_conversion_view_' iam_role '' ALLOWOVERWRITE HEADER FORMAT CSV gzip;,7,107.36666,335.16666,175.51190,1228.58330,0.74332,17,1010909,1092713,1042633,7298437,1688719,2025-03-03,5,0,default,0,0,,Stats
